Year,Month No,Month,BU,Doctor Name,Target Revenue,Target No. cases,Total Revenue,Credit Revenue,Cash Revenue,Total Leakage Revenue Losses,Doctor PMS %,No. Cases,No. Services,Charge per case,No. Booking,No. Planned booking Slots,No. follow-up visits,Service Leakage %,Cross Referral %,Patient Retention %,Patient Acquisition %,Actual COE Compliance %,Digital Actual CR%,Digital Target CR%,No. Missed Opportunity,No. Cancelled Clinics,Total Losses Revenue_Cancellation_Modification,No-Show %
2023,1,2023-01-01,ASH,Ahmed,271569.55,170,200007.47,100355.95,99651.52,15141.48,0.7247,143,311,1398.65,173,210,40,0.0757,0.1067,0.4975,0.5025,0.7547,0.1624,0.1764,15,2,19098.84,0.123
2023,1,2023-01-01,ASH,Omar,260027.67,174,184526.68,81662.07,102864.61,5606.49,0.6743,140,180,1318.05,155,197,47,0.0304,0.2255,0.7747,0.2253,0.8033,0.2751,0.2986,20,6,33972.08,0.0662
2023,1,2023-01-01,ASH,Youssef,180265.82,119,153611.61,72771.02,80840.59,5621.54,0.8913,100,128,1536.12,124,148,34,0.0366,0.0927,0.5367,0.4633,0.7572,0.1892,0.169,15,3,15876.87,0.1412
2023,1,2023-01-01,ASH,Aly,228015.13,155,248599.8,123946.61,124653.19,14893.48,0.831,145,252,1714.48,170,191,46,0.0599,0.2555,0.5638,0.4362,0.4662,0.313,0.3196,6,0,1247.46,0.0909
2023,1,2023-01-01,ASH,Khaled,234573.53,147,196084.32,93216.97,102867.35,3121.36,0.7607,111,191,1766.53,143,165,38,0.0159,0.1689,0.5161,0.4839,0.6897,0.1682,0.1778,10,5,43634.71,0.1049
2023,1,2023-01-01,ASH,Mohamed,255970.67,171,235185.89,113470.43,121715.46,6567.31,0.8806,141,291,1667.99,183,213,56,0.0279,0.2604,0.6356,0.3644,0.609,0.1625,0.1779,22,6,30502.62,0.116
2023,1,2023-01-01,ASH,Mahmoud,285286.68,188,299008.87,118788.64,180220.23,17636.83,0.8747,185,236,1616.26,215,237,72,0.059,0.1416,0.4962,0.5038,0.6358,0.2326,0.2768,8,5,36184.91,0.0611
2023,1,2023-01-01,ASH,Maged,214362.76,137,161799.81,73750.74,88049.07,3189.06,0.6664,109,131,1484.4,138,176,20,0.0197,0.1193,0.6051,0.3949,0.4976,0.2359,0.2377,23,4,29952.78,0.0822
2023,1,2023-01-01,ASH,Amany,258577.04,166,187766.58,93110.04,94656.54,17599.97,0.6826,134,240,1401.24,167,192,37,0.0937,0.1214,0.7302,0.2698,0.4818,0.1813,0.1904,11,2,15886.6,0.0748
2023,1,2023-01-01,ASH,Alaa,170559.56,106,127335.04,47637.43,79697.61,10555.52,0.5864,72,90,1768.54,93,119,21,0.0829,0.0913,0.5644,0.4356,0.3811,0.2633,0.2206,9,6,48119.27,0.162
2023,1,2023-01-01,ASH,Ola,286174.69,186,175855.73,97087.56,78768.17,10265.69,0.7799,143,314,1229.76,189,208,27,0.0584,0.1802,0.601,0.399,0.8019,0.219,0.1852,5,1,3550.12,0.1794
2023,1,2023-01-01,SMH,Ahmed,163953.6,129,85171.54,53057.23,32114.31,3433.23,0.6125,89,178,956.98,117,151,30,0.0403,0.1154,0.5156,0.4844,0.4194,0.2516,0.2633,24,0,5689.37,0.1724
2023,1,2023-01-01,SMH,Omar,170855.12,138,170022.55,61091.62,108930.93,4695.98,0.894,119,185,1428.76,143,156,41,0.0276,0.1868,0.7754,0.2246,0.6966,0.1802,0.1613,5,5,18131.82,0.0595
2023,1,2023-01-01,SMH,Youssef,139798.17,109,104194.06,43051.73,61142.33,3763.36,0.7211,83,130,1255.35,96,136,32,0.0361,0.2431,0.4532,0.5468,0.5745,0.1535,0.2043,25,5,48223.32,0.0639
